time,heartRate
11:35:41,103
11:35:42,105
11:35:42,107
11:35:42,111
11:35:42,114
11:35:43,116
11:35:43,116
11:35:43,116
11:35:43,114
11:35:44,114
11:35:44,113
11:35:44,113
11:35:45,115
11:35:45,117
11:35:45,117
11:35:45,117
11:35:46,118
11:35:46,119
11:35:46,119
11:35:46,119
11:35:47,119
11:35:47,119
11:35:47,119
11:35:47,119
11:35:48,119
11:35:48,118
11:35:48,118
11:35:48,118
11:35:49,117
11:35:49,117
11:35:49,117
11:35:49,117
11:35:50,117
11:35:50,117
11:35:50,117
11:35:50,117
11:35:51,115
11:35:51,115
11:35:51,115
11:35:52,113
11:35:52,113
11:35:52,113
11:35:52,113
11:35:53,113
11:35:53,114
11:35:53,114
11:35:53,115
11:35:54,115
11:35:54,118
11:35:54,118
11:35:54,118
11:35:55,119
11:35:55,119
11:35:55,119
11:35:55,119
11:35:56,123
11:35:56,125
11:35:56,125
11:35:56,128
11:35:57,128
11:35:57,129
11:35:57,129
11:35:57,129
11:35:58,130
11:35:58,130
11:35:58,130
11:35:58,130
11:35:59,130
11:35:59,130
11:35:59,130
11:36:00,130
11:36:00,129
11:36:00,129
11:36:01,129
11:36:01,129
11:36:01,129
11:36:02,129
11:36:02,129
11:36:02,129
11:36:02,129
11:36:03,129
11:36:03,129
11:36:03,129
11:36:03,129
11:36:04,129
11:36:04,130
11:36:04,131
11:36:04,131
11:36:04,131
11:36:05,135
11:36:05,135
11:36:05,135
11:36:06,136
11:36:06,136
11:36:06,137
11:36:06,137
11:36:07,136
11:36:07,136
11:36:07,136
11:36:07,136
11:36:08,136
11:36:08,136
11:36:08,136
11:36:08,136
11:36:09,136
11:36:09,135
11:36:09,135
11:36:09,135
11:36:10,136
11:36:10,136
11:36:10,136
11:36:11,135
11:36:11,136
11:36:11,136
11:36:11,136
11:36:12,136
11:36:12,136
11:36:12,136
11:36:12,136
11:36:13,136
11:36:13,136
11:36:13,136
11:36:14,136
11:36:14,136
11:36:14,136
11:36:14,136
11:36:15,136
11:36:15,136
11:36:15,136
11:36:15,136
11:36:16,136
11:36:16,136
11:36:16,136
11:36:16,136
11:36:17,135
11:36:17,134
11:36:17,134
11:36:17,134
11:36:18,134
11:36:18,135
11:36:18,134
11:36:18,134
11:36:19,134
11:36:19,134
11:36:19,135
11:36:19,136
11:36:20,136
11:36:20,137
11:36:20,137
11:36:20,137
11:36:21,137
11:36:21,137
11:36:21,137
11:36:21,137
11:36:21,137
11:36:22,137
11:36:22,137
11:36:22,137
11:36:22,137
11:36:23,138
11:36:23,138
11:36:23,138
11:36:23,138
11:36:24,139
11:36:24,139
11:36:24,139
11:36:24,139
11:36:25,138
11:36:25,138
11:36:25,138
11:36:25,138
11:36:26,138
11:36:26,138
11:36:26,138
11:36:26,138
11:36:27,138
11:36:27,138
11:36:27,138
11:36:27,138
11:36:28,139
11:36:28,139
11:36:28,139
11:36:28,139
11:36:29,136
11:36:29,136
11:36:29,137
11:36:29,137
11:36:30,137
11:36:30,137
