time,heartRate
0:00:03,69
0:00:13,68
0:00:18,68
0:00:23,67
0:00:28,66
0:00:33,66
0:00:43,68
0:00:58,68
0:01:13,68
0:01:23,69
0:01:38,69
0:01:43,70
0:01:48,71
0:01:58,71
0:02:13,71
0:02:28,71
0:02:33,72
0:02:38,76
0:02:43,78
0:02:53,76
0:02:58,75
0:03:03,75
0:03:13,74
0:03:18,72
0:03:23,68
0:03:28,65
0:03:38,66
0:03:43,66
0:03:48,67
0:03:53,68
0:03:58,70
0:04:08,71
0:04:13,72
0:04:18,73
0:04:33,73
0:04:48,73
0:04:53,72
0:04:58,70
0:05:03,67
0:05:08,66
0:05:18,67
0:05:33,67
0:05:38,69
0:05:53,69
0:05:58,70
0:06:03,69
0:06:08,68
0:06:13,68
0:06:23,69
0:06:38,68
0:06:43,66
0:06:48,62
0:06:58,64
0:07:03,65
0:07:08,65
0:07:23,65
0:07:38,67
0:07:48,68
0:07:53,68
0:07:58,69
0:08:08,70
0:08:13,71
0:08:18,71
0:08:23,71
0:08:33,69
0:08:38,67
0:08:43,68
0:08:48,69
0:08:58,70
0:09:08,70
0:09:13,70
0:09:28,70
0:09:38,71
0:09:43,70
0:09:53,71
0:09:58,72
0:10:08,72
0:10:23,72
0:10:38,72
0:10:43,70
0:10:52,70
0:11:02,69
0:11:07,68
0:11:17,69
0:11:22,70
0:11:37,70
0:11:52,71
0:12:02,72
0:12:07,74
0:12:12,73
0:12:17,72
0:12:22,71
0:12:32,73
0:12:37,75
0:12:47,73
0:12:57,73
0:13:07,78
0:13:12,81
0:13:27,82
0:13:32,80
0:13:37,78
0:13:42,79
0:13:57,79
0:14:07,80
0:14:12,81
0:14:27,81
0:14:32,79
0:14:37,67
0:14:42,65
0:14:47,65
0:15:02,67
0:15:17,67
0:15:32,70
0:15:37,71
0:15:42,74
0:15:47,73
0:15:52,74
0:16:07,74
0:16:22,74
0:16:27,70
0:16:32,66
0:16:37,67
0:16:47,66
0:16:57,67
0:17:02,68
0:17:07,67
0:17:12,68
0:17:22,69
0:17:27,70
0:17:32,71
0:17:37,72
0:17:42,73
0:17:52,75
0:17:57,77
0:18:02,79
0:18:17,80
0:18:22,78
0:18:27,73
0:18:32,72
0:18:37,70
0:18:42,68
0:18:47,65
0:18:52,62
0:18:57,61
0:19:07,60
0:19:12,59
0:19:22,58
0:19:27,57
0:19:32,56
0:19:42,56
0:19:47,57
0:19:52,58
0:20:02,59
0:20:07,58
0:20:22,58
0:20:27,58
0:20:32,59
0:20:37,59
0:20:47,60
0:20:52,60
0:20:58,60
0:21:08,61
0:21:13,63
0:21:18,65
0:21:23,67
0:21:28,66
0:21:33,60
0:21:38,59
0:21:43,58
0:21:58,59
0:22:08,60
0:22:18,62
0:22:23,63
0:22:28,66
0:22:33,67
0:22:38,68
0:22:43,70
0:22:48,72
0:22:53,71
0:22:58,68
0:23:03,61
0:23:08,61
0:23:13,61
0:23:23,61
0:23:33,62
0:23:48,61
0:23:53,60
0:23:58,60
0:24:13,61
0:24:18,65
0:24:28,62
0:24:33,60
0:24:43,61
0:24:48,60
0:25:03,61
0:25:18,60
0:25:23,58
0:25:38,59
0:25:43,60
0:25:53,61
0:26:03,63
0:26:08,62
0:26:23,61
0:26:28,60
0:26:33,60
0:26:43,64
0:26:48,68
0:26:53,70
0:26:58,71
0:27:03,72
0:27:08,73
0:27:13,72
0:27:28,69
0:27:33,67
0:27:38,66
0:27:43,64
0:27:48,62
0:28:03,62
0:28:18,62
0:28:33,62
0:28:38,61
0:28:53,60
0:28:58,59
0:29:03,62
0:29:13,63
0:29:23,62
0:29:33,64
0:29:38,65
0:29:43,68
0:29:48,69
0:29:53,71
0:29:58,72
0:30:03,76
0:30:08,79
0:30:13,80
0:30:18,81
0:30:23,82
0:30:28,81
0:30:38,83
0:30:53,84
0:30:58,87
0:31:03,91
0:31:08,92
0:31:13,87
0:31:23,91
0:31:28,93
0:31:33,94
0:31:38,95
0:31:48,96
0:31:53,100
0:31:58,99
0:32:03,97
0:32:13,83
0:32:18,70
0:32:23,64
0:32:28,62
0:32:33,60
0:32:38,59
0:32:43,58
0:32:53,58
0:32:58,58
0:33:03,58
0:33:13,59
0:33:28,59
0:33:33,59
0:33:48,58
0:33:53,57
0:34:08,56
0:34:18,56
0:34:23,57
0:34:28,58
0:34:33,60
0:34:38,62
0:34:43,64
0:34:48,65
0:34:53,66
0:35:03,67
0:35:08,67
0:35:13,64
0:35:18,62
0:35:23,59
0:35:38,59
0:35:43,59
0:35:48,60
0:35:53,61
0:36:03,60
0:36:13,59
0:36:18,58
0:36:28,58
0:36:33,59
0:36:38,60
0:36:43,62
0:36:49,63
0:36:54,63
0:37:04,61
0:37:14,61
0:37:19,62
0:37:24,63
0:37:29,64
0:37:34,67
0:37:39,68
0:37:49,65
0:37:54,65
0:38:09,67
0:38:14,68
0:38:19,71
0:38:24,74
0:38:29,76
0:38:34,78
0:38:39,81
0:38:44,84
0:38:49,86
0:38:54,89
0:38:59,85
0:39:04,84
0:39:19,84
0:39:34,84
0:39:39,85
0:39:49,84
0:39:54,83
0:39:59,82
0:40:04,83
0:40:09,72
0:40:14,65
0:40:19,64
0:40:29,65
0:40:34,66
0:40:39,69
0:40:44,70
0:40:49,72
0:40:54,85
0:40:59,96
0:41:04,105
0:41:09,114
0:41:19,112
0:41:24,96
0:41:29,76
0:41:34,73
0:41:39,71
0:41:44,69
0:41:49,68
0:41:59,72
0:42:04,80
0:42:14,76
0:42:19,75
0:42:34,75
0:42:44,76
0:42:49,81
0:42:54,87
0:42:59,88
0:43:04,87
0:43:09,91
0:43:19,90
0:43:29,89
0:43:34,87
0:43:39,76
0:43:44,60
0:43:49,58
0:43:54,57
0:43:59,56
0:44:04,58
0:44:09,58
0:44:14,58
0:44:24,57
0:44:39,57
0:44:44,58
0:44:49,57
0:45:04,57
0:45:14,63
0:45:19,67
0:45:24,68
0:45:29,67
0:45:39,64
0:45:49,63
0:45:54,62
0:46:04,64
0:46:09,68
0:46:19,69
0:46:24,71
0:46:29,70
0:46:34,64
0:46:39,62
0:46:44,60
0:46:49,60
0:46:59,60
0:47:09,59
0:47:24,59
0:47:39,59
0:47:54,60
0:47:59,60
0:48:04,59
0:48:09,58
0:48:14,57
0:48:24,58
0:48:29,59
0:48:34,61
0:48:39,67
0:48:44,72
0:48:54,71
0:48:59,71
0:49:14,71
0:50:45,63
0:50:55,64
0:51:00,63
0:51:10,62
0:51:20,63
0:51:25,64
0:51:40,63
0:51:45,61
0:51:55,62
0:52:05,63
0:52:15,62
0:52:25,61
0:52:30,60
0:52:35,61
0:52:45,62
0:52:50,63
0:53:00,67
0:53:05,68
0:53:15,69
0:53:30,71
0:53:40,72
0:53:45,74
0:53:50,76
0:53:55,77
0:54:00,78
0:54:05,79
0:54:10,80
0:54:15,80
0:54:25,81
0:54:30,80
0:54:35,79
0:54:40,78
0:54:45,77
0:54:55,75
0:55:05,76
0:55:10,78
0:55:15,78
0:55:20,80
0:55:25,80
0:55:30,80
0:55:35,75
0:55:50,74
0:56:00,93
0:56:05,97
0:56:10,76
0:56:15,68
0:56:20,66
0:56:25,64
0:56:30,62
0:56:40,61
0:56:45,61
0:56:50,62
0:56:55,63
0:57:00,64
0:57:10,62
0:57:15,60
0:57:25,60
0:57:30,59
0:57:40,60
0:57:45,61
0:58:00,62
0:58:05,63
0:58:15,64
0:58:20,60
0:58:25,58
0:58:35,59
0:58:40,60
0:58:45,63
0:58:50,71
0:58:55,84
0:59:00,96
0:59:05,100
0:59:10,99
0:59:15,96
0:59:20,86
0:59:25,77
0:59:30,72
0:59:35,66
0:59:40,65
0:59:45,63
0:59:50,62
1:00:05,62
1:00:15,63
1:00:20,64
1:00:25,66
1:00:30,67
1:00:35,66
1:00:40,65
1:00:45,64
1:00:50,63
1:01:05,63
1:01:10,66
1:01:15,68
1:01:20,70
1:01:25,73
1:01:30,86
1:01:35,91
1:01:41,81
1:01:46,78
1:01:51,77
1:01:56,74
1:02:01,73
1:02:11,74
1:02:16,78
1:02:21,79
1:02:26,78
1:02:31,79
1:02:36,77
1:02:46,78
1:02:51,80
1:02:56,78
1:03:01,72
1:03:16,72
1:03:21,72
1:03:31,71
1:03:36,70
1:03:46,68
1:03:51,64
1:03:56,63
1:04:01,60
1:04:06,56
1:04:11,55
1:04:16,55
1:04:31,56
1:04:36,55
1:04:51,55
1:04:56,56
1:05:01,57
1:05:06,59
1:05:21,60
1:05:36,62
1:05:51,63
1:06:01,62
1:06:06,61
1:06:11,60
1:06:21,63
1:06:26,68
1:06:31,69
1:06:41,68
1:06:46,65
1:06:51,64
1:06:56,63
1:07:01,63
1:07:06,64
