time,heartRate
15:10:42,125
15:10:42,125
15:10:42,126
15:10:43,128
15:10:43,128
15:10:43,128
15:10:43,128
15:10:44,128
15:10:44,128
15:10:44,128
15:10:44,127
15:10:45,128
15:10:45,128
15:10:45,128
15:10:45,127
15:10:46,128
15:10:46,128
15:10:46,128
15:10:46,127
15:10:47,126
15:10:47,126
15:10:47,126
15:10:47,125
15:10:48,124
15:10:48,124
15:10:48,124
15:10:48,123
15:10:49,123
15:10:49,123
15:10:49,123
15:10:49,124
15:10:50,124
15:10:50,124
15:10:50,124
15:10:50,124
15:10:51,123
15:10:51,123
15:10:51,123
15:10:51,123
15:10:52,122
15:10:52,122
15:10:52,122
15:10:52,122
15:10:53,125
15:10:53,125
15:10:53,125
15:10:53,125
15:10:54,126
15:10:54,126
15:10:54,126
15:10:54,126
15:10:55,127
15:10:55,128
15:10:55,128
15:10:55,128
15:10:56,132
15:10:56,132
15:10:56,132
15:10:56,132
15:10:56,132
15:10:57,132
15:10:57,132
15:10:57,132
15:10:57,132
15:10:58,132
15:10:58,132
15:10:58,132
15:10:58,131
15:10:59,131
15:10:59,131
15:10:59,131
15:10:59,131
15:11:00,131
15:11:00,131
15:11:00,131
15:11:00,130
15:11:01,130
15:11:01,130
15:11:01,130
15:11:01,130
15:11:02,130
15:11:02,130
15:11:02,130
15:11:02,129
15:11:03,129
15:11:03,129
15:11:03,129
15:11:03,129
15:11:04,129
15:11:04,129
15:11:04,129
15:11:04,129
15:11:05,128
15:11:05,128
15:11:05,128
15:11:05,128
15:11:06,128
15:11:06,128
15:11:06,128
15:11:06,128
15:11:07,127
15:11:07,127
15:11:07,127
15:11:07,127
15:11:08,127
15:11:08,126
15:11:08,126
15:11:08,126
15:11:09,126
15:11:09,126
15:11:09,126
15:11:09,126
15:11:10,126
15:11:10,126
15:11:10,126
15:11:10,126
15:11:11,126
15:11:11,126
15:11:11,126
15:11:11,126
15:11:12,126
15:11:12,125
15:11:12,125
15:11:12,125
15:11:13,125
15:11:13,125
15:11:13,124
15:11:13,124
15:11:13,124
15:11:14,124
15:11:14,124
15:11:14,124
15:11:14,124
15:11:15,124
15:11:15,124
15:11:15,124
15:11:15,123
15:11:16,123
15:11:16,123
15:11:16,123
15:11:16,123
15:11:17,123
15:11:17,123
15:11:17,123
15:11:17,123
15:11:18,123
15:11:18,123
15:11:18,123
15:11:18,123
15:11:19,123
15:11:19,123
15:11:19,123
15:11:19,123
15:11:20,123
15:11:20,123
15:11:20,123
15:11:20,123
15:11:21,123
15:11:21,123
15:11:21,123
15:11:21,123
15:11:22,123
15:11:22,123
15:11:22,123
15:11:22,123
15:11:23,122
15:11:23,122
15:11:23,122
15:11:23,122
15:11:24,122
15:11:24,122
15:11:24,122
15:11:24,122
15:11:25,122
15:11:25,122
15:11:25,121
15:11:25,121
15:11:26,121
15:11:26,121
15:11:26,121
15:11:26,121
15:11:27,121
15:11:27,121
